date,GES Temp Measures,EMM Temp Measures
1989-01-01,5.832652197574895,7.880997467559352
1989-02-01,8.268550884794706,9.172814909867267
1989-03-01,11.711776096804662,13.266261430180478
1989-04-01,15.54877440486895,15.61321258950695
1989-05-01,16.711778665308486,18.070207543763043
1989-06-01,19.349142657486325,20.758802595566394
1989-07-01,21.363795707066622,22.50275614268208
1989-08-01,19.9169085169135,20.79109803162409
1989-09-01,18.53412392379248,19.144030792681498
1989-10-01,15.264891475155366,16.931793422729193
1989-11-01,10.29236144823673,12.98367636467562
1989-12-01,4.797853131199561,7.872923608544927
1990-01-01,7.288696901589743,9.35851366719903
1990-02-01,10.172641280422273,9.560360142559643
1990-03-01,11.546940847293548,13.08863653186314
1990-04-01,15.48467180783685,16.721873088354155
1990-05-01,17.621822270696974,17.9248780815034
1990-06-01,19.77954580898757,20.50043910710481
